pts_per_g,per,ws,ws_per_48,bpm,Decision
23.feb,24.avg,10.maj,0.191,5.sep,0.006999999999999999
14.jun,21.jan,3.jun,0.18100000000000002,3.feb,0.006999999999999999
23.feb,22.jul,9.sep,0.17800000000000002,4.apr,0.005
5.maj,13.jun,6.feb,0.14300000000000002,3.feb,0.004
19.mar,25.feb,12.jul,0.237,6.0,0.003
23.jan,19.feb,9.mar,0.151,2.sep,0.003
27.apr,28.sep,16.jul,0.268,8.maj,0.857
29.jun,27.avg,18.mar,0.28300000000000003,6.jul,0.8320000000000001
21.apr,25.maj,14.jun,0.223,8.0,0.327
20.mar,20.avg,12.sep,0.198,5.jan,0.207
26.avg,19.jul,10.avg,0.154,1.feb,0.11699999999999999
21.avg,21.avg,12.sep,0.193,5.jun,0.091
23.feb,22.jul,9.jan,0.154,3.feb,0.083
22.apr,21.mar,9.avg,0.163,1.jul,0.05
16.feb,18.sep,11.apr,0.17300000000000001,4.maj,0.006
26.feb,27.jan,8.0,0.19699999999999998,6.mar,0.006
20.feb,21.mar,13.jan,0.203,6.jun,0.005
19.avg,21.jun,8.apr,0.174,2.jul,0.004
13.mar,19.0,11.mar,0.183,3.feb,0.003
25.sep,21.jun,10.avg,0.166,3.mar,0.003
14.apr,22.jan,13.jun,0.226,3.sep,0.003
19.feb,23.0,9.apr,0.22399999999999998,7.jan,0.002
20.jun,19.0,6.jul,0.10300000000000001,2.0,0.001
23.maj,18.0,4.jan,0.065,1.maj,0.001
20.jan,22.sep,11.jul,0.21100000000000002,4.feb,0.001
20.jan,17.apr,9.jan,0.154,1.mar,0.001
28.jul,25.feb,15.avg,0.23800000000000002,4.jun,0.934
27.0,27.sep,16.apr,0.259,7.0,0.726
19.feb,21.jun,12.maj,0.19,5.0,0.37200000000000005
28.mar,28.avg,10.feb,0.22399999999999998,4.jun,0.268
21.jan,22.jun,12.avg,0.192,5.maj,0.128
18.sep,20.jun,11.jul,0.185,4.jun,0.061
21.jun,27.avg,13.avg,0.26899999999999996,7.avg,0.031
19.feb,20.apr,10.apr,0.16899999999999998,2.0,0.021
21.jan,21.feb,10.feb,0.149,4.avg,0.02
19.jan,20.apr,6.jun,0.193,5.avg,0.012
22.mar,17.apr,9.mar,0.136,0.7,0.006
22.apr,17.avg,4.jul,0.07,0.7,0.005
11.jun,16.apr,8.0,0.12300000000000001,3.jan,0.004
12.0,21.avg,8.0,0.20600000000000002,2.jun,0.004
23.feb,20.apr,7.sep,0.14800000000000002,2.mar,0.003
19.maj,19.avg,12.0,0.20600000000000002,4.mar,0.002
16.jul,19.sep,6.jan,0.141,0.3,0.002
21.maj,19.mar,7.maj,0.106,2.apr,0.001
17.avg,19.jun,8.jan,0.129,2.jun,0.001
23.avg,25.jun,9.jun,0.252,6.avg,0.701
20.jan,24.jun,7.sep,0.21600000000000003,4.avg,0.655
21.jul,23.feb,8.jul,0.213,4.sep,0.627
26.avg,22.feb,7.feb,0.17300000000000001,4.jun,0.27
16.sep,22.maj,8.jan,0.188,5.avg,0.135
26.mar,30.jun,9.0,0.255,6.mar,0.075
20.0,19.maj,3.jun,0.102,3.0,0.043
21.jan,23.sep,7.mar,0.18899999999999997,6.0,0.033
21.jul,23.jan,7.feb,0.172,5.apr,0.03
20.avg,22.apr,5.apr,0.146,5.jul,0.008
20.maj,23.jun,6.mar,0.205,4.jul,0.006
15.avg,24.sep,8.apr,0.261,7.apr,0.005
18.sep,23.jan,6.maj,0.175,2.sep,0.003
12.jan,20.apr,5.avg,0.207,4.mar,0.003
13.avg,22.feb,6.apr,0.205,5.sep,0.002
18.mar,19.jun,5.0,0.136,1.sep,0.001
15.avg,16.jul,5.0,0.122,3.jun,0.001
7.jun,17.sep,3.avg,0.134,1.maj,0.001
18.apr,19.jul,4.0,0.122,0.9,0.001
18.jul,17.sep,4.apr,0.162,3.feb,0.001
12.avg,16.jul,5.0,0.16899999999999998,1.sep,0.001
29.jul,30.jun,18.jun,0.28300000000000003,9.jul,0.998
22.sep,23.jun,11.jun,0.172,6.jan,0.337
21.jul,25.avg,12.sep,0.226,4.jun,0.303
